Date,Mean
2020-08-13,0.3138
2020-08-14,0.2811
2020-08-15,0.282
2020-08-17,0.268
2020-08-19,0.2786
2020-08-20,0.3031
2020-08-21,0.3661
2020-08-22,0.2831
2020-08-23,0.3073
2020-08-25,0.3248
2020-08-26,0.3154
